trigger_name,trigger_schema,table_name,definition,for_each,timing,events,function_name,enabled
on_auth_user_created,auth,users,CREATE TRIGGER on_auth_user_created AFTER INSERT ON auth.users FOR EACH ROW EXECUTE FUNCTION handle_new_user(),STATEMENT,UNKNOWN,INSERT,handle_new_user,O
cron_job_cache_invalidate,cron,job,CREATE TRIGGER cron_job_cache_invalidate AFTER INSERT OR DELETE OR UPDATE OR TRUNCATE ON cron.job FOR EACH STATEMENT EXECUTE FUNCTION cron.job_cache_invalidate(),STATEMENT,UNKNOWN,"INSERT,DELETE,UPDATE,TRUNCATE",job_cache_invalidate,O
update_leave_request_step,public,approval_steps,CREATE TRIGGER update_leave_request_step AFTER UPDATE OF status ON approval_steps FOR EACH ROW EXECUTE FUNCTION update_leave_request_step_function(),STATEMENT,UNKNOWN,UPDATE,update_leave_request_step_function,O
trigger_update_leave_conversions_updated_at,public,leave_conversions,CREATE TRIGGER trigger_update_leave_conversions_updated_at BEFORE UPDATE ON leave_conversions FOR EACH ROW EXECUTE FUNCTION update_leave_conversions_updated_at(),ROW,UNKNOWN,UPDATE,update_leave_conversions_updated_at,O
trigger_update_leave_debts_updated_at,public,leave_debts,CREATE TRIGGER trigger_update_leave_debts_updated_at BEFORE UPDATE ON leave_debts FOR EACH ROW EXECUTE FUNCTION update_leave_debts_updated_at(),ROW,UNKNOWN,UPDATE,update_leave_debts_updated_at,O
update_leave_request_comments_updated_at,public,leave_request_comments,CREATE TRIGGER update_leave_request_comments_updated_at BEFORE UPDATE ON leave_request_comments FOR EACH ROW EXECUTE FUNCTION update_updated_at_column(),ROW,UNKNOWN,UPDATE,update_updated_at_column,O
on_leave_approval,public,leave_requests,CREATE TRIGGER on_leave_approval AFTER UPDATE ON leave_requests FOR EACH ROW EXECUTE FUNCTION update_leave_balance_on_approval(),STATEMENT,UNKNOWN,UPDATE,update_leave_balance_on_approval,O
on_leave_request_balance_update,public,leave_requests,CREATE TRIGGER on_leave_request_balance_update AFTER DELETE OR UPDATE ON leave_requests FOR EACH ROW EXECUTE FUNCTION update_leave_balance(),STATEMENT,UNKNOWN,"DELETE,UPDATE",update_leave_balance,O
on_leave_request_change,public,leave_requests,CREATE TRIGGER on_leave_request_change AFTER INSERT OR UPDATE ON leave_requests FOR EACH ROW EXECUTE FUNCTION handle_leave_request_change(),STATEMENT,UNKNOWN,"INSERT,UPDATE",handle_leave_request_change,O
on_leave_request_changes,public,leave_requests,CREATE TRIGGER on_leave_request_changes AFTER INSERT OR UPDATE ON leave_requests FOR EACH ROW EXECUTE FUNCTION handle_leave_request_notifications(),STATEMENT,UNKNOWN,"INSERT,UPDATE",handle_leave_request_notifications,O
tr_check_filters,realtime,subscription,CREATE TRIGGER tr_check_filters BEFORE INSERT OR UPDATE ON realtime.subscription FOR EACH ROW EXECUTE FUNCTION realtime.subscription_check_filters(),ROW,UNKNOWN,"INSERT,UPDATE",subscription_check_filters,O
enforce_bucket_name_length_trigger,storage,buckets,CREATE TRIGGER enforce_bucket_name_length_trigger BEFORE INSERT OR UPDATE OF name ON storage.buckets FOR EACH ROW EXECUTE FUNCTION storage.enforce_bucket_name_length(),ROW,UNKNOWN,"INSERT,UPDATE",enforce_bucket_name_length,O
objects_delete_delete_prefix,storage,objects,CREATE TRIGGER objects_delete_delete_prefix AFTER DELETE ON storage.objects FOR EACH ROW EXECUTE FUNCTION storage.delete_prefix_hierarchy_trigger(),STATEMENT,UNKNOWN,DELETE,delete_prefix_hierarchy_trigger,O
objects_insert_create_prefix,storage,objects,CREATE TRIGGER objects_insert_create_prefix BEFORE INSERT ON storage.objects FOR EACH ROW EXECUTE FUNCTION storage.objects_insert_prefix_trigger(),ROW,UNKNOWN,INSERT,objects_insert_prefix_trigger,O
objects_update_create_prefix,storage,objects,CREATE TRIGGER objects_update_create_prefix BEFORE UPDATE ON storage.objects FOR EACH ROW WHEN (new.name <> old.name OR new.bucket_id <> old.bucket_id) EXECUTE FUNCTION storage.objects_update_prefix_trigger(),ROW,UNKNOWN,UPDATE,objects_update_prefix_trigger,O
update_objects_updated_at,storage,objects,CREATE TRIGGER update_objects_updated_at BEFORE UPDATE ON storage.objects FOR EACH ROW EXECUTE FUNCTION storage.update_updated_at_column(),ROW,UNKNOWN,UPDATE,update_updated_at_column,O
prefixes_create_hierarchy,storage,prefixes,CREATE TRIGGER prefixes_create_hierarchy BEFORE INSERT ON storage.prefixes FOR EACH ROW WHEN (pg_trigger_depth() < 1) EXECUTE FUNCTION storage.prefixes_insert_trigger(),ROW,UNKNOWN,INSERT,prefixes_insert_trigger,O
prefixes_delete_hierarchy,storage,prefixes,CREATE TRIGGER prefixes_delete_hierarchy AFTER DELETE ON storage.prefixes FOR EACH ROW EXECUTE FUNCTION storage.delete_prefix_hierarchy_trigger(),STATEMENT,UNKNOWN,DELETE,delete_prefix_hierarchy_trigger,O
